nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,pullrequestsCount
onnx/onnx,https://github.com/onnx/onnx,14663,270,77,2342
huggingface/diffusers,https://github.com/huggingface/diffusers,14447,434,79,2290
mnielsen/neural-networks-and-deep-learning,https://github.com/mnielsen/neural-networks-and-deep-learning,14394,10,0,235
openai/baselines,https://github.com/openai/baselines,14341,466,5,347
jupyter/jupyter,https://github.com/jupyter/jupyter,14318,96,0,758
mlflow/mlflow,https://github.com/mlflow/mlflow,14303,582,358,3982
RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,14303,421,93,4466
deepinsight/insightface,https://github.com/deepinsight/insightface,14280,47,2,2236
ManimCommunity/manim,https://github.com/ManimCommunity/manim,14243,350,0,5724
GoogleCloudPlatform/microservices-demo,https://github.com/GoogleCloudPlatform/microservices-demo,14101,438,2,1452
borisdayma/dalle-mini,https://github.com/borisdayma/dalle-mini,14095,26,0,727
eriklindernoren/PyTorch-GAN,https://github.com/eriklindernoren/PyTorch-GAN,14044,8,0,193
fabric/fabric,https://github.com/fabric/fabric,14031,16,69,1560
lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,13999,17,0,272
pytorch/vision,https://github.com/pytorch/vision,13920,577,48,3477
wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,13852,65,0,332
pallets/click,https://github.com/pallets/click,13813,318,7,2259
powerline/powerline,https://github.com/powerline/powerline,13795,137,0,2857
yoheinakajima/babyagi,https://github.com/yoheinakajima/babyagi,13783,71,3,381
aws/aws-cli,https://github.com/aws/aws-cli,13732,355,73,11165
KurtBestor/Hitomi-Downloader,https://github.com/KurtBestor/Hitomi-Downloader,13607,19,109,255
mxrch/GHunt,https://github.com/mxrch/GHunt,13606,26,1,298
pydantic/pydantic,https://github.com/pydantic/pydantic,13603,360,0,1796
frappe/erpnext,https://github.com/frappe/erpnext,13598,477,286,45011
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,13567,238,27,4379
aio-libs/aiohttp,https://github.com/aio-libs/aiohttp,13528,644,170,9019
aleju/imgaug,https://github.com/aleju/imgaug,13527,25,0,2913
apprenticeharper/DeDRM_tools,https://github.com/apprenticeharper/DeDRM_tools,13526,58,0,533
pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,13514,37,1,1618
youfou/wxpy,https://github.com/youfou/wxpy,13487,4,1,304
plotly/plotly.py,https://github.com/plotly/plotly.py,13404,264,58,5897
NVlabs/stylegan,https://github.com/NVlabs/stylegan,13392,16,0,15
Ciphey/Ciphey,https://github.com/Ciphey/Ciphey,13340,38,11,1886
ranger/ranger,https://github.com/ranger/ranger,13329,199,148,4999
RunaCapital/awesome-oss-alternatives,https://github.com/RunaCapital/awesome-oss-alternatives,13290,94,0,372
horovod/horovod,https://github.com/horovod/horovod,13261,173,202,1318
gunthercox/ChatterBot,https://github.com/gunthercox/ChatterBot,13236,90,7,1848
hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,13216,22,0,175
google/yapf,https://github.com/google/yapf,13214,139,9,1259
saltstack/salt,https://github.com/saltstack/salt,13190,2447,1570,117346
lra/mackup,https://github.com/lra/mackup,13180,417,0,2264
