nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
huggingface/datasets,https://github.com/huggingface/datasets,16112,593,126,3416,537.0,3543.0,Python,NaoTipada,0.9641546711826136,8107.0,565.0,40.09333333333333,663.0
quantopian/zipline,https://github.com/quantopian/zipline,16112,129,15,6226,52.0,1867.0,Python,NaoTipada,3.33476164970541,7862.0,579.0,1572.0570833333334,67.0
Jack-Cherish/python-spider,https://github.com/Jack-Cherish/python-spider,16101,8,0,338,0.0,43.0,Python,NaoTipada,7.860465116279069,1056.0,365.0,0.0,0.0
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,16041,542,39,11488,605.0,3109.0,Python,NaoTipada,3.695078803473786,7443.0,1005.0,166.87361111111113,644.0
kholia/OSX-KVM,https://github.com/kholia/OSX-KVM,16036,32,0,25,0.0,143.0,Python,NaoTipada,0.1748251748251748,156.0,26.0,0.0,0.0
openai/chatgpt-retrieval-plugin,https://github.com/openai/chatgpt-retrieval-plugin,16030,388,0,73,0.0,116.0,Python,NaoTipada,0.6293103448275862,631.0,96.0,0.0,0.0
WZMIAOMIAO/deep-learning-for-image-processing,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,15943,1,0,1292,0.0,385.0,Python,NaoTipada,3.355844155844156,7574.0,759.0,0.0,0.0
binux/pyspider,https://github.com/binux/pyspider,15862,51,1,1181,5.0,170.0,Python,NaoTipada,6.947058823529412,3125.0,561.0,29.35388888888889,6.0
facebook/prophet,https://github.com/facebook/prophet,15844,256,20,762,97.0,413.0,Python,NaoTipada,1.8450363196125907,771.0,79.0,1523.439722222222,117.0
cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,15840,27,0,308,0.0,114.0,Python,NaoTipada,2.701754385964912,878.0,104.0,0.0,0.0
kivy/kivy,https://github.com/kivy/kivy,15838,468,7,12786,3.0,3454.0,Python,NaoTipada,3.7017950202663576,12737.0,1184.0,811.1686111111111,10.0
ipython/ipython,https://github.com/ipython/ipython,15809,831,122,26550,885.0,6881.0,Python,NaoTipada,3.858450806568813,7824.0,829.0,144.42069444444445,1007.0
magic-wormhole/magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,15775,58,1,1604,1.0,170.0,Python,NaoTipada,9.43529411764706,2593.0,636.0,101.75277777777778,2.0
