nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,18614,229,3,12092,1633.0,1158.0,Python,NaoTipada
magenta/magenta,https://github.com/magenta/magenta,18447,149,0,1420,0.0,1128.0,Python,NaoTipada
saleor/saleor,https://github.com/saleor/saleor,18421,237,222,20398,725.0,8052.0,Python,NaoTipada
jina-ai/jina,https://github.com/jina-ai/jina,18302,176,0,8296,0.0,3971.0,Python,NaoTipada
JaidedAI/EasyOCR,https://github.com/JaidedAI/EasyOCR,17900,99,0,570,4.0,212.0,Python,NaoTipada
d2l-ai/d2l-en,https://github.com/d2l-ai/d2l-en,17766,306,1,6334,7.0,2116.0,Python,NaoTipada
jhao104/proxy_pool,https://github.com/jhao104/proxy_pool,17749,47,0,644,4.0,177.0,Python,NaoTipada
zulip/zulip,https://github.com/zulip/zulip,17748,1753,337,51387,1829.0,17491.0,Python,NaoTipada
chriskiehl/Gooey,https://github.com/chriskiehl/Gooey,17565,87,3,743,8.0,290.0,Python,NaoTipada
pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,17560,399,114,6644,308.0,1996.0,Python,NaoTipada
bokeh/bokeh,https://github.com/bokeh/bokeh,17557,573,189,20095,2156.0,5694.0,Python,NaoTipada
Vonng/ddia,https://github.com/Vonng/ddia,17458,93,0,770,1.0,240.0,Python,NaoTipada
matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,17354,1288,0,47103,0.0,16377.0,Python,NaoTipada
sanic-org/sanic,https://github.com/sanic-org/sanic,17040,291,18,2782,105.0,1451.0,Python,NaoTipada
nginx-proxy/nginx-proxy,https://github.com/nginx-proxy/nginx-proxy,17037,124,0,1024,0.0,605.0,Python,NaoTipada
pyscript/pyscript,https://github.com/pyscript/pyscript,16553,112,27,892,130.0,728.0,Python,NaoTipada
AnthonyCalandra/modern-cpp-features,https://github.com/AnthonyCalandra/modern-cpp-features,16549,35,0,169,3.0,71.0,Python,NaoTipada
spotify/luigi,https://github.com/spotify/luigi,16523,527,1,4078,24.0,2270.0,Python,NaoTipada
jantic/DeOldify,https://github.com/jantic/DeOldify,16515,37,0,517,0.0,116.0,Python,NaoTipada
ungoogled-software/ungoogled-chromium,https://github.com/ungoogled-software/ungoogled-chromium,16513,74,20,2064,153.0,449.0,Python,NaoTipada
mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,16377,222,1,1852,180.0,1129.0,Python,NaoTipada
RasaHQ/rasa,https://github.com/RasaHQ/rasa,16202,488,0,31737,0.0,5722.0,Python,NaoTipada
huggingface/datasets,https://github.com/huggingface/datasets,16112,593,126,3416,537.0,3543.0,Python,NaoTipada
quantopian/zipline,https://github.com/quantopian/zipline,16112,129,15,6226,52.0,1867.0,Python,NaoTipada
Jack-Cherish/python-spider,https://github.com/Jack-Cherish/python-spider,16101,8,0,338,0.0,43.0,Python,NaoTipada
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,16041,542,39,11488,599.0,3109.0,Python,NaoTipada
kholia/OSX-KVM,https://github.com/kholia/OSX-KVM,16036,32,0,25,0.0,143.0,Python,NaoTipada
openai/chatgpt-retrieval-plugin,https://github.com/openai/chatgpt-retrieval-plugin,16030,388,0,73,0.0,116.0,Python,NaoTipada
WZMIAOMIAO/deep-learning-for-image-processing,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,15943,1,0,1292,0.0,385.0,Python,NaoTipada
binux/pyspider,https://github.com/binux/pyspider,15862,51,1,1181,5.0,170.0,Python,NaoTipada
facebook/prophet,https://github.com/facebook/prophet,15844,256,20,762,97.0,413.0,Python,NaoTipada
cool-RR/PySnooper,https://github.com/cool-RR/PySnooper,15840,27,0,308,0.0,114.0,Python,NaoTipada
kivy/kivy,https://github.com/kivy/kivy,15838,468,7,12786,3.0,3454.0,Python,NaoTipada
ipython/ipython,https://github.com/ipython/ipython,15809,831,122,26550,885.0,6881.0,Python,NaoTipada
magic-wormhole/magic-wormhole,https://github.com/magic-wormhole/magic-wormhole,15775,58,1,1604,1.0,170.0,Python,NaoTipada
joke2k/faker,https://github.com/joke2k/faker,15759,479,0,3334,32.0,1221.0,Python,NaoTipada
ArchiveBox/ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,15689,96,0,3033,0.0,299.0,Python,NaoTipada
microsoft/recommenders,https://github.com/microsoft/recommenders,15628,10000,26,8392,180.0,1158.0,Python,NaoTipada
rsms/inter,https://github.com/rsms/inter,15327,22,2,1682,63.0,71.0,Python,NaoTipada
python/mypy,https://github.com/python/mypy,15319,619,1419,11182,2250.0,6183.0,Python,NaoTipada
InstaPy/InstaPy,https://github.com/InstaPy/InstaPy,15297,255,1,3346,207.0,1160.0,Python,NaoTipada
karpathy/minGPT,https://github.com/karpathy/minGPT,15113,12,0,94,0.0,61.0,Python,NaoTipada
kovidgoyal/calibre,https://github.com/kovidgoyal/calibre,15087,280,0,47022,0.0,1895.0,Python,NaoTipada
wting/autojump,https://github.com/wting/autojump,15034,56,7,839,39.0,191.0,Python,NaoTipada
Kr1s77/awesome-python-login-model,https://github.com/Kr1s77/awesome-python-login-model,15031,10,0,175,0.0,34.0,Python,NaoTipada
twintproject/twint,https://github.com/twintproject/twint,14919,60,1,845,49.0,248.0,Python,NaoTipada
Delgan/loguru,https://github.com/Delgan/loguru,14847,41,7,714,29.0,114.0,Python,NaoTipada
jerryjliu/llama_index,https://github.com/jerryjliu/llama_index,14813,152,32,788,24.0,912.0,Python,NaoTipada
h2y/Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,14764,8,0,203,0.0,15.0,Python,NaoTipada
wagtail/wagtail,https://github.com/wagtail/wagtail,14701,659,0,15167,0.0,5837.0,Python,NaoTipada
onnx/onnx,https://github.com/onnx/onnx,14663,270,77,2342,348.0,2742.0,Python,NaoTipada
huggingface/diffusers,https://github.com/huggingface/diffusers,14447,434,79,2290,529.0,1921.0,Python,NaoTipada
mnielsen/neural-networks-and-deep-learning,https://github.com/mnielsen/neural-networks-and-deep-learning,14394,10,0,235,0.0,48.0,Python,NaoTipada
openai/baselines,https://github.com/openai/baselines,14341,466,5,347,8.0,370.0,Python,NaoTipada
jupyter/jupyter,https://github.com/jupyter/jupyter,14318,96,0,758,0.0,248.0,Python,NaoTipada
mlflow/mlflow,https://github.com/mlflow/mlflow,14303,582,358,3982,793.0,5384.0,Python,NaoTipada
RaRe-Technologies/gensim,https://github.com/RaRe-Technologies/gensim,14303,421,93,4466,237.0,1668.0,Python,NaoTipada
deepinsight/insightface,https://github.com/deepinsight/insightface,14280,47,2,2236,1.0,138.0,Python,NaoTipada
ManimCommunity/manim,https://github.com/ManimCommunity/manim,14243,350,0,5724,0.0,1841.0,Python,NaoTipada
GoogleCloudPlatform/microservices-demo,https://github.com/GoogleCloudPlatform/microservices-demo,14101,438,2,1452,44.0,1402.0,Python,NaoTipada
borisdayma/dalle-mini,https://github.com/borisdayma/dalle-mini,14095,26,0,727,0.0,177.0,Python,NaoTipada
eriklindernoren/PyTorch-GAN,https://github.com/eriklindernoren/PyTorch-GAN,14044,8,0,193,0.0,43.0,Python,NaoTipada
fabric/fabric,https://github.com/fabric/fabric,14031,16,69,1560,285.0,548.0,Python,NaoTipada
lucidrains/vit-pytorch,https://github.com/lucidrains/vit-pytorch,13999,17,0,272,0.0,37.0,Python,NaoTipada
pytorch/vision,https://github.com/pytorch/vision,13920,577,48,3477,335.0,4741.0,Python,NaoTipada
wangshub/wechat_jump_game,https://github.com/wangshub/wechat_jump_game,13852,65,0,332,4.0,289.0,Python,NaoTipada
pallets/click,https://github.com/pallets/click,13813,318,7,2259,82.0,1011.0,Python,NaoTipada
powerline/powerline,https://github.com/powerline/powerline,13795,137,0,2857,0.0,745.0,Python,NaoTipada
yoheinakajima/babyagi,https://github.com/yoheinakajima/babyagi,13783,71,3,381,1.0,199.0,Python,NaoTipada
aws/aws-cli,https://github.com/aws/aws-cli,13732,355,73,11165,498.0,3351.0,Python,NaoTipada
KurtBestor/Hitomi-Downloader,https://github.com/KurtBestor/Hitomi-Downloader,13607,19,109,255,454.0,63.0,Python,NaoTipada
mxrch/GHunt,https://github.com/mxrch/GHunt,13606,26,1,298,27.0,73.0,Python,NaoTipada
pydantic/pydantic,https://github.com/pydantic/pydantic,13603,360,0,1796,0.0,2239.0,Python,NaoTipada
frappe/erpnext,https://github.com/frappe/erpnext,13598,477,286,45011,3510.0,20719.0,Python,NaoTipada
