nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount
tusen-ai/naive-ui,https://github.com/tusen-ai/naive-ui,12594,226,35,8147
rt2zz/redux-persist,https://github.com/rt2zz/redux-persist,12590,155,1,814
leon-ai/leon,https://github.com/leon-ai/leon,12567,18,15,1207
kubeflow/kubeflow,https://github.com/kubeflow/kubeflow,12537,339,0,2447
Tonejs/Tone.js,https://github.com/Tonejs/Tone.js,12472,92,0,5350
ajv-validator/ajv,https://github.com/ajv-validator/ajv,12459,192,1,2670
FaridSafi/react-native-gifted-chat,https://github.com/FaridSafi/react-native-gifted-chat,12413,178,0,1366
mswjs/msw,https://github.com/mswjs/msw,12272,120,48,1322
nexe/nexe,https://github.com/nexe/nexe,12188,49,54,584
linnovate/mean,https://github.com/linnovate/mean,12175,193,0,2230
renovatebot/renovate,https://github.com/renovatebot/renovate,12120,812,0,14569
hotwired/stimulus,https://github.com/hotwired/stimulus,11955,81,0,1091
graphile/postgraphile,https://github.com/graphile/postgraphile,11918,97,0,1395
luin/ioredis,https://github.com/luin/ioredis,11912,150,6,1292
VSCodeVim/Vim,https://github.com/VSCodeVim/Vim,11886,336,0,6538
alibaba/hooks,https://github.com/alibaba/hooks,11817,195,5,2591
fuergaosi233/wechat-chatgpt,https://github.com/fuergaosi233/wechat-chatgpt,11761,31,32,254
PostHog/posthog,https://github.com/PostHog/posthog,11758,143,436,11564
aurelia/framework,https://github.com/aurelia/framework,11742,114,8,846
TypeStrong/ts-node,https://github.com/TypeStrong/ts-node,11724,123,3,830
liupan1890/aliyunpan,https://github.com/liupan1890/aliyunpan,11650,1,6,132
Chocobozzz/PeerTube,https://github.com/Chocobozzz/PeerTube,11636,387,0,11521
antvis/G2,https://github.com/antvis/G2,11604,57,23,546
ionic-team/stencil,https://github.com/ionic-team/stencil,11597,212,0,6718
AmruthPillai/Reactive-Resume,https://github.com/AmruthPillai/Reactive-Resume,11537,84,107,3863
taye/interact.js,https://github.com/taye/interact.js,11500,51,0,2686
unocss/unocss,https://github.com/unocss/unocss,11415,200,1,2202
onivim/oni,https://github.com/onivim/oni,11414,84,124,1798
plouc/nivo,https://github.com/plouc/nivo,11384,176,18,1979
motion-canvas/motion-canvas,https://github.com/motion-canvas/motion-canvas,11359,53,0,653
alibaba/lowcode-engine,https://github.com/alibaba/lowcode-engine,11318,66,35,659
BuilderIO/partytown,https://github.com/BuilderIO/partytown,11287,86,9,795
majodev/google-webfonts-helper,https://github.com/majodev/google-webfonts-helper,11219,8,0,164
google/blockly,https://github.com/google/blockly,11211,178,0,7906
peers/peerjs,https://github.com/peers/peerjs,11200,67,9,1062
howdyai/botkit,https://github.com/howdyai/botkit,11097,243,2,3574
highcharts/highcharts,https://github.com/highcharts/highcharts,11086,168,415,27480
material-theme/vsc-material-theme,https://github.com/material-theme/vsc-material-theme,11080,89,0,990
microsoft/TypeScript-React-Starter,https://github.com/microsoft/TypeScript-React-Starter,11063,10000,0,44
tensorflow/playground,https://github.com/tensorflow/playground,10982,26,0,247
shadcn/taxonomy,https://github.com/shadcn/taxonomy,10955,11,0,133
ant-design/ant-design-mobile,https://github.com/ant-design/ant-design-mobile,10931,249,33,7491
javascript-obfuscator/javascript-obfuscator,https://github.com/javascript-obfuscator/javascript-obfuscator,10925,34,2,2383
fkhadra/react-toastify,https://github.com/fkhadra/react-toastify,10913,70,11,1256
snabbdom/snabbdom,https://github.com/snabbdom/snabbdom,10911,108,0,919
kusti8/proton-native,https://github.com/kusti8/proton-native,10901,32,12,205
sindresorhus/type-fest,https://github.com/sindresorhus/type-fest,10899,125,5,434
Bin-Huang/chatbox,https://github.com/Bin-Huang/chatbox,10847,20,0,262
nhn/tui.calendar,https://github.com/nhn/tui.calendar,10776,34,45,3064
microsoft/frontend-bootcamp,https://github.com/microsoft/frontend-bootcamp,10745,10000,0,488
crimx/ext-saladict,https://github.com/crimx/ext-saladict,10712,20,29,3384
callstack/react-native-paper,https://github.com/callstack/react-native-paper,10698,293,26,1903
styleguidist/react-styleguidist,https://github.com/styleguidist/react-styleguidist,10638,243,12,2174
barbajs/barba,https://github.com/barbajs/barba,10626,22,2,814
googleapis/google-api-nodejs-client,https://github.com/googleapis/google-api-nodejs-client,10593,244,34,6490
jacomyal/sigma.js,https://github.com/jacomyal/sigma.js,10576,60,9,1652
vercel/vercel,https://github.com/vercel/vercel,10545,513,0,7716
denoland/fresh,https://github.com/denoland/fresh,10521,146,6,422
callstack/linaria,https://github.com/callstack/linaria,10496,154,0,887
yoavbls/pretty-ts-errors,https://github.com/yoavbls/pretty-ts-errors,10435,9,1,65
vercel/micro,https://github.com/vercel/micro,10420,378,0,434
vuejs/pinia,https://github.com/vuejs/pinia,10411,222,5,1667
caprover/caprover,https://github.com/caprover/caprover,10353,50,1,1505
whyour/qinglong,https://github.com/whyour/qinglong,10332,43,0,1510
payloadcms/payload,https://github.com/payloadcms/payload,10319,133,0,5438
botpress/botpress,https://github.com/botpress/botpress,10307,175,81,13326
