nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,20451,77,0,595,7.0,528.0,Typescript,Tipada
novuhq/novu,https://github.com/novuhq/novu,20446,276,8,10928,48.0,2295.0,Typescript,Tipada
jquense/yup,https://github.com/jquense/yup,20326,154,6,751,22.0,485.0,Typescript,Tipada
recharts/recharts,https://github.com/recharts/recharts,20241,249,64,2247,150.0,799.0,Typescript,Tipada
oldj/SwitchHosts,https://github.com/oldj/SwitchHosts,20162,35,0,1316,0.0,88.0,Typescript,Tipada
Redocly/redoc,https://github.com/Redocly/redoc,20105,239,56,2520,182.0,639.0,Typescript,Tipada
lensterxyz/lenster,https://github.com/lensterxyz/lenster,20039,75,19,5884,36.0,1818.0,Typescript,Tipada
palantir/blueprint,https://github.com/palantir/blueprint,19805,379,188,2910,634.0,3112.0,Typescript,Tipada
calcom/cal.com,https://github.com/calcom/cal.com,19520,260,0,5595,0.0,5007.0,Typescript,Tipada
graphql/graphql-js,https://github.com/graphql/graphql-js,19507,200,10,3355,26.0,2756.0,Typescript,Tipada
railsware/upterm,https://github.com/railsware/upterm,19337,107,0,2998,0.0,566.0,Typescript,Tipada
mantinedev/mantine,https://github.com/mantinedev/mantine,19312,373,0,10251,0.0,1197.0,Typescript,Tipada
outline/outline,https://github.com/outline/outline,19289,130,29,5164,1051.0,1931.0,Typescript,Tipada
react-dnd/react-dnd,https://github.com/react-dnd/react-dnd,19198,201,3,2229,52.0,1906.0,Typescript,Tipada
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,18959,232,171,5811,1064.0,778.0,Typescript,Tipada
fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs,18950,88,5,751,51.0,307.0,Typescript,Tipada
reduxjs/reselect,https://github.com/reduxjs/reselect,18890,94,1,735,1.0,216.0,Typescript,Tipada
wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,18879,56,1,915,5.0,199.0,Typescript,Tipada
GoogleChromeLabs/squoosh,https://github.com/GoogleChromeLabs/squoosh,18772,73,3,1459,14.0,783.0,Typescript,Tipada
apollographql/apollo-client,https://github.com/apollographql/apollo-client,18689,748,0,11633,0.0,5686.0,Typescript,Tipada
framer/motion,https://github.com/framer/motion,18575,76,158,4588,726.0,805.0,Typescript,Tipada
elastic/kibana,https://github.com/elastic/kibana,18457,2320,1760,63156,15392.0,102791.0,Typescript,Tipada
Budibase/budibase,https://github.com/Budibase/budibase,18242,75,169,31322,1612.0,2961.0,Typescript,Tipada
alan2207/bulletproof-react,https://github.com/alan2207/bulletproof-react,18144,28,0,162,0.0,58.0,Typescript,Tipada
eclipse-theia/theia,https://github.com/eclipse-theia/theia,18060,296,373,6464,1352.0,5421.0,Typescript,Tipada
medusajs/medusa,https://github.com/medusajs/medusa,17993,147,57,3475,217.0,2919.0,Typescript,Tipada
GrapesJS/grapesjs,https://github.com/GrapesJS/grapesjs,17859,144,4,5361,146.0,522.0,Typescript,Tipada
reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk,17575,55,0,194,0.0,127.0,Typescript,Tipada
alibaba/ice,https://github.com/alibaba/ice,17543,113,74,2775,194.0,3361.0,Typescript,Tipada
