nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
angular-ui/ui-router,https://github.com/angular-ui/ui-router,13635,187,0,2121,319.7344444444444,260.0,664.0
transitive-bullshit/chatgpt-api,https://github.com/transitive-bullshit/chatgpt-api,13555,126,0,848,16.761944444444445,1.0,218.0
rrweb-io/rrweb,https://github.com/rrweb-io/rrweb,13549,99,35,1146,394.5633333333333,53.0,483.0
transitive-bullshit/chatgpt-api,https://github.com/transitive-bullshit/chatgpt-api,13555,126,0,848,16.761944444444445,1.0,218.0
reduxjs/redux-devtools,https://github.com/reduxjs/redux-devtools,13501,107,11,1205,276.0727777777778,21.0,874.0
tldraw/tldraw,https://github.com/tldraw/tldraw,13495,118,9,1762,203.03027777777777,29.0,644.0
apollographql/apollo-server,https://github.com/apollographql/apollo-server,13353,531,0,8043,0.0,0.0,4862.0
typescript-eslint/typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,13328,515,97,3713,41.86527777777778,755.0,3415.0
pmndrs/jotai,https://github.com/pmndrs/jotai,13273,158,0,1181,107.35041666666666,30.0,866.0
signalapp/Signal-Desktop,https://github.com/signalapp/Signal-Desktop,13268,222,520,9199,423.3309722222222,539.0,1079.0
schickling/chromeless,https://github.com/schickling/chromeless,13236,46,14,559,114.1625,13.0,140.0
mckaywrigley/chatbot-ui,https://github.com/mckaywrigley/chatbot-ui,13229,88,0,290,0.0,0.0,342.0
chartist-js/chartist,https://github.com/chartist-js/chartist,13183,66,3,962,354.5875,66.0,279.0
expo/create-react-native-app,https://github.com/expo/create-react-native-app,13126,70,0,373,317.7975,21.0,187.0
upscayl/upscayl,https://github.com/upscayl/upscayl,13099,13,20,376,33.89319444444445,32.0,36.0
wong2/chatgpt-google-extension,https://github.com/wong2/chatgpt-google-extension,13014,19,0,223,176.98083333333332,1.0,68.0
sindresorhus/got,https://github.com/sindresorhus/got,12989,182,12,1479,256.18347222222224,180.0,669.0
tinymce/tinymce,https://github.com/tinymce/tinymce,12932,234,279,25623,1403.7852777777775,2641.0,2555.0
jupyterlab/jupyterlab,https://github.com/jupyterlab/jupyterlab,12891,485,450,25391,179.24041666666665,1473.0,7056.0
danilowoz/react-content-loader,https://github.com/danilowoz/react-content-loader,12876,45,0,281,316.7211111111111,5.0,162.0
