nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
oldj/SwitchHosts,https://github.com/oldj/SwitchHosts,20162,35,0,1316,0.0,88.0,Typescript,Tipada,14.954545454545457,1070.0,61.0,0.0,0.0
Redocly/redoc,https://github.com/Redocly/redoc,20105,239,56,2520,186.0,639.0,Typescript,Tipada,3.943661971830986,121.0,20.0,476.5306944444444,242.0
lensterxyz/lenster,https://github.com/lensterxyz/lenster,20039,75,19,5884,36.0,1818.0,Typescript,Tipada,3.2365236523652365,4152.0,142.0,180.69972222222225,55.0
palantir/blueprint,https://github.com/palantir/blueprint,19805,379,188,2910,638.0,3112.0,Typescript,Tipada,0.9350899742930592,2610.0,290.0,144.66333333333333,826.0
calcom/cal.com,https://github.com/calcom/cal.com,19520,260,0,5595,0.0,5007.0,Typescript,Tipada,1.1174355901737567,11583.0,768.0,0.0,0.0
graphql/graphql-js,https://github.com/graphql/graphql-js,19507,200,10,3355,26.0,2756.0,Typescript,Tipada,1.217343976777939,6515.0,327.0,206.85541666666663,36.0
railsware/upterm,https://github.com/railsware/upterm,19337,107,0,2998,0.0,566.0,Typescript,Tipada,5.296819787985866,1580.0,130.0,0.0,0.0
mantinedev/mantine,https://github.com/mantinedev/mantine,19312,373,0,10251,0.0,1197.0,Typescript,Tipada,8.563909774436091,11009.0,351.0,0.0,0.0
outline/outline,https://github.com/outline/outline,19289,130,29,5164,1056.0,1931.0,Typescript,Tipada,2.6742620403935784,3753.0,157.0,6.559583333333333,1085.0
react-dnd/react-dnd,https://github.com/react-dnd/react-dnd,19198,201,3,2229,52.0,1906.0,Typescript,Tipada,1.1694648478488985,3739.0,579.0,687.7118055555557,55.0
ueberdosis/tiptap,https://github.com/ueberdosis/tiptap,18959,232,171,5811,1075.0,778.0,Typescript,Tipada,7.469151670951157,3759.0,103.0,195.88152777777776,1246.0
fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs,18950,88,5,751,51.0,307.0,Typescript,Tipada,2.446254071661238,429.0,25.0,2403.505833333333,56.0
reduxjs/reselect,https://github.com/reduxjs/reselect,18890,94,1,735,1.0,216.0,Typescript,Tipada,3.4027777777777777,645.0,110.0,5848.001388888889,2.0
wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,18879,56,1,915,5.0,199.0,Typescript,Tipada,4.597989949748744,1288.0,401.0,60.01,6.0
GoogleChromeLabs/squoosh,https://github.com/GoogleChromeLabs/squoosh,18772,73,3,1459,14.0,783.0,Typescript,Tipada,1.8633461047254152,297.0,63.0,9973.200277777778,17.0
apollographql/apollo-client,https://github.com/apollographql/apollo-client,18689,748,0,11633,0.0,5686.0,Typescript,Tipada,2.045902215969047,2395.0,144.0,0.0,0.0
framer/motion,https://github.com/framer/motion,18575,76,158,4588,731.0,805.0,Typescript,Tipada,5.6993788819875775,2492.0,181.0,35.320277777777775,889.0
elastic/kibana,https://github.com/elastic/kibana,18457,2320,1760,63156,15470.0,102791.0,Typescript,Tipada,0.6144117675671995,45508.0,2995.0,95.38958333333336,17230.0
Budibase/budibase,https://github.com/Budibase/budibase,18242,75,169,31322,1629.0,2961.0,Typescript,Tipada,10.578183046268151,14238.0,774.0,65.83152777777778,1798.0
alan2207/bulletproof-react,https://github.com/alan2207/bulletproof-react,18144,28,0,162,0.0,58.0,Typescript,Tipada,2.793103448275862,455.0,14.0,0.0,0.0
eclipse-theia/theia,https://github.com/eclipse-theia/theia,18060,296,373,6464,1354.0,5421.0,Typescript,Tipada,1.192399926212876,4290.0,155.0,145.68833333333333,1727.0
medusajs/medusa,https://github.com/medusajs/medusa,17993,147,57,3475,226.0,2919.0,Typescript,Tipada,1.1904761904761905,30648.0,2184.0,34.16972222222222,283.0
GrapesJS/grapesjs,https://github.com/GrapesJS/grapesjs,17859,144,4,5361,147.0,522.0,Typescript,Tipada,10.270114942528735,8298.0,1599.0,250.1751388888889,151.0
reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk,17575,55,0,194,0.0,127.0,Typescript,Tipada,1.5275590551181102,63.0,9.0,0.0,0.0
alibaba/ice,https://github.com/alibaba/ice,17543,113,74,2775,205.0,3361.0,Typescript,Tipada,0.8256471288307051,4604.0,243.0,180.7861111111111,279.0
nrwl/nx,https://github.com/nrwl/nx,17482,705,326,9184,4346.0,8946.0,Typescript,Tipada,1.02660406885759,7809.0,471.0,14.889027777777777,4672.0
the1812/Bilibili-Evolved,https://github.com/the1812/Bilibili-Evolved,17449,34,41,7303,335.0,321.0,Typescript,Tipada,22.75077881619938,2585.0,111.0,496.06375,376.0
web3/web3.js,https://github.com/web3/web3.js,17432,240,40,3664,636.0,2288.0,Typescript,Tipada,1.6013986013986017,102.0,20.0,490.9920833333333,676.0
t3-oss/create-t3-app,https://github.com/t3-oss/create-t3-app,17287,233,0,1059,0.0,997.0,Typescript,Tipada,1.0621865596790372,324.0,23.0,0.0,0.0
desktop/desktop,https://github.com/desktop/desktop,17195,370,157,34136,900.0,5283.0,Typescript,Tipada,6.461480219572213,692.0,36.0,309.08444444444444,1057.0
BuilderIO/qwik,https://github.com/BuilderIO/qwik,17155,342,150,2547,727.0,2668.0,Typescript,Tipada,0.954647676161919,526.0,25.0,29.069166666666668,877.0
airbnb/visx,https://github.com/airbnb/visx,17107,152,0,3156,0.0,698.0,Typescript,Tipada,4.521489971346705,763.0,26.0,0.0,0.0
material-components/material-components-web,https://github.com/material-components/material-components-web,16772,388,151,7391,590.0,4987.0,Typescript,Tipada,1.4820533386805694,4789.0,124.0,119.28527777777778,741.0
teambit/bit,https://github.com/teambit/bit,16623,72,0,11773,753.0,5486.0,Typescript,Tipada,2.146008020415604,7050.0,351.0,176.5648611111111,753.0
