nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada
daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,12294,19,1,175.0,8,65.0,Java,Tipada
daimajia/AndroidViewAnimations,https://github.com/daimajia/AndroidViewAnimations,12273,19,0,145.0,1,35.0,Java,Tipada
dromara/Sa-Token,https://github.com/dromara/Sa-Token,12210,93,0,1474.0,2,73.0,Java,Tipada
macrozheng/mall-learning,https://github.com/macrozheng/mall-learning,11990,1,0,522.0,0,42.0,Java,Tipada
projectlombok/lombok,https://github.com/projectlombok/lombok,11957,126,11,3536.0,18,471.0,Java,Tipada
google/guice,https://github.com/google/guice,11950,87,7,2076.0,201,576.0,Java,Tipada
Netflix/eureka,https://github.com/Netflix/eureka,11807,651,2,1687.0,20,847.0,Java,Tipada
quarkusio/quarkus,https://github.com/quarkusio/quarkus,11727,797,0,38037.0,0,18420.0,Java,Tipada
codecentric/spring-boot-admin,https://github.com/codecentric/spring-boot-admin,11678,169,10,2182.0,319,916.0,Java,Tipada
Tencent/VasSonic,https://github.com/Tencent/VasSonic,11661,16,0,372.0,0,115.0,Java,Tipada
kunal-kushwaha/DSA-Bootcamp-Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java,11591,121,0,813.0,0,830.0,Java,Tipada
Yalantis/uCrop,https://github.com/Yalantis/uCrop,11497,58,8,359.0,20,201.0,Java,Tipada
realm/realm-java,https://github.com/realm/realm-java,11385,162,0,8968.0,0,3205.0,Java,Tipada
questdb/questdb,https://github.com/questdb/questdb,11367,106,54,4073.0,278,2017.0,Java,Tipada
neo4j/neo4j,https://github.com/neo4j/neo4j,11359,377,155,76568.0,1056,9736.0,Java,Tipada
apache/zookeeper,https://github.com/apache/zookeeper,11251,208,0,2475.0,0,1994.0,Java,Tipada
janishar/mit-deep-learning-book-pdf,https://github.com/janishar/mit-deep-learning-book-pdf,11172,7,0,26.0,0,6.0,Java,Tipada
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,11132,57,0,2934.0,0,634.0,Java,Tipada
jfeinstein10/SlidingMenu,https://github.com/jfeinstein10/SlidingMenu,11128,23,0,336.0,6,130.0,Java,Tipada
permissions-dispatcher/PermissionsDispatcher,https://github.com/permissions-dispatcher/PermissionsDispatcher,11123,33,1,787.0,41,301.0,Java,Tipada
theonedev/onedev,https://github.com/theonedev/onedev,11119,26,0,5406.0,0,52.0,Java,Tipada
redis/jedis,https://github.com/redis/jedis,11056,204,2,2160.0,29,1605.0,Java,Tipada
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,10838,1,0,42.0,0,24.0,Java,Tipada
alibaba/vlayout,https://github.com/alibaba/vlayout,10837,20,3,366.0,17,23.0,Java,Tipada
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,10836,10,5,593.0,3,26.0,Java,Tipada
code4craft/webmagic,https://github.com/code4craft/webmagic,10812,48,13,1210.0,66,200.0,Java,Tipada
