nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime
square/javapoet,https://github.com/square/javapoet,10210,108,4,889.0,11.0,548.0,Java,Tipada,1.6222627737226278,1359,328,2173.705833333333
JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,10207,18,1,1080.0,0.0,72.0,Java,Tipada,15.0,1301,176,0.0
macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,10192,1,0,448.0,0.0,23.0,Java,Tipada,19.47826086956522,14037,1609,0.0
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10184,25,0,241.0,9.0,149.0,Java,Tipada,1.6174496644295302,588,42,382.8011111111111
jhy/jsoup,https://github.com/jhy/jsoup,10119,102,2,1812.0,133.0,563.0,Java,Tipada,3.2184724689165187,5365,849,783.1304166666666
apereo/cas,https://github.com/apereo/cas,10099,313,0,23042.0,0.0,4308.0,Java,Tipada,5.348653667595172,32213,5978,0.0
google/auto,https://github.com/google/auto,10097,83,0,1610.0,0.0,1037.0,Java,Tipada,1.5525554484088715,4595,1145,0.0
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,9972,3,0,99.0,0.0,17.0,Java,Tipada,5.823529411764706,5799,1180,0.0
clojure/clojure,https://github.com/clojure/clojure,9967,156,0,3443.0,0.0,91.0,Java,Tipada,37.83516483516483,10084,11607,0.0
krahets/hello-algo,https://github.com/krahets/hello-algo,9915,71,0,1261.0,0.0,372.0,Java,Tipada,3.389784946236559,2861,535,0.0
LSPosed/LSPosed,https://github.com/LSPosed/LSPosed,9819,63,0,2688.0,197.0,1613.0,Java,Tipada,1.666460012399256,4513,795,0.073611111111111
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9778,16,0,239.0,0.0,46.0,Java,Tipada,5.195652173913044,240,8,0.0
Netflix/conductor,https://github.com/Netflix/conductor,9737,759,0,3162.0,149.0,1575.0,Java,Tipada,2.0076190476190474,9968,1058,188.12041666666667
YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9729,17,0,612.0,10.0,43.0,Java,Tipada,14.232558139534884,1722,277,14.15236111111111
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,9719,78,7,1128.0,109.0,365.0,Java,Tipada,3.0904109589041098,2525,1840,912.1195833333334
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9700,7,0,97.0,0.0,26.0,Java,Tipada,3.730769230769231,271,25,0.0
