nameWithOwner,url,stargazers,mentionableUsers,openIssues,closedIssues,commitsCount
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,10439,22,0,7,228
apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,10396,477,160,2573,7790
chefyuan/algorithm-base,https://github.com/chefyuan/algorithm-base,10391,12,0,0,389
aosp-mirror/platform_frameworks_base,https://github.com/aosp-mirror/platform_frameworks_base,10383,1404,0,0,814375
yuliskov/SmartTubeNext,https://github.com/yuliskov/SmartTubeNext,10262,70,0,0,7448
square/javapoet,https://github.com/square/javapoet,10210,108,4,11,889
JessYanCoding/MVPArms,https://github.com/JessYanCoding/MVPArms,10207,18,1,0,1080
macrozheng/mall-swarm,https://github.com/macrozheng/mall-swarm,10192,1,0,0,448
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,10184,25,0,0,241
jhy/jsoup,https://github.com/jhy/jsoup,10119,102,2,132,1812
apereo/cas,https://github.com/apereo/cas,10099,313,0,0,23042
google/auto,https://github.com/google/auto,10097,83,0,0,1610
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,9972,3,0,0,99
amitshekhariitbhu/android-interview-questions,https://github.com/amitshekhariitbhu/android-interview-questions,9967,43,0,0,360
clojure/clojure,https://github.com/clojure/clojure,9967,156,0,0,3443
krahets/hello-algo,https://github.com/krahets/hello-algo,9915,71,0,0,1261
LSPosed/LSPosed,https://github.com/LSPosed/LSPosed,9819,63,0,193,2688
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,9778,16,0,0,239
Netflix/conductor,https://github.com/Netflix/conductor,9737,759,0,0,3162
YoKeyword/Fragmentation,https://github.com/YoKeyword/Fragmentation,9729,17,0,10,612
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,9719,78,7,109,1128
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,9700,7,0,0,97
alibaba/COLA,https://github.com/alibaba/COLA,9690,26,0,0,379
