nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,clossedIssues,pullrequestsCount,language,TipadaOuNaoTipada,CommitsPerPullrequests,CycleComplexity,CodeSmell,medianBugFixTime,total_issues
jashkenas/underscore,https://github.com/jashkenas/underscore,26947,283,1,2830.0,112.0,1551.0,Javascript,NaoTipada,1.824629271437782,3802,2019,134.7698611111111,113.0
transloadit/uppy,https://github.com/transloadit/uppy,26811,370,75,9236.0,650.0,2411.0,Javascript,NaoTipada,3.830775611779345,7786,661,92.80527777777776,725.0
SortableJS/Sortable,https://github.com/SortableJS/Sortable,26782,152,21,1080.0,74.0,492.0,Javascript,NaoTipada,2.1951219512195124,4411,837,242.6651388888889,95.0
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,26466,325,119,5668.0,632.0,5475.0,Javascript,NaoTipada,1.0352511415525114,13250,512,64.20375,751.0
parallax/jsPDF,https://github.com/parallax/jsPDF,26442,194,39,2267.0,122.0,1229.0,Javascript,NaoTipada,1.8445890968266885,10648,6155,5181.094722222222,161.0
TheAlgorithms/JavaScript,https://github.com/TheAlgorithms/JavaScript,26394,349,2,1732.0,8.0,1128.0,Javascript,NaoTipada,1.5354609929078014,4923,100,82.90736111111111,10.0
OAI/OpenAPI-Specification,https://github.com/OAI/OpenAPI-Specification,26375,211,2,1962.0,8.0,1061.0,Javascript,NaoTipada,1.8491988689915173,92,8,1074.7791666666665,10.0
YMFE/yapi,https://github.com/YMFE/yapi,25994,90,0,5802.0,6.0,289.0,Javascript,NaoTipada,20.07612456747405,5082,763,22.30097222222222,6.0
codemirror/codemirror5,https://github.com/codemirror/codemirror5,25852,860,0,7142.0,0.0,2867.0,Javascript,NaoTipada,2.49110568538542,17729,6340,0.0,0.0
github/fetch,https://github.com/github/fetch,25712,123,0,656.0,2.0,301.0,Javascript,NaoTipada,2.179401993355482,584,178,3770.634583333333,2.0
Automattic/mongoose,https://github.com/Automattic/mongoose,25631,959,0,19225.0,0.0,3033.0,Javascript,NaoTipada,6.338608638311903,9231,327,0.0,0.0
request/request,https://github.com/request/request,25630,311,1,2270.0,0.0,1174.0,Javascript,NaoTipada,1.933560477001704,1707,950,0.0,1.0
digitalocean/nginxconfig.io,https://github.com/digitalocean/nginxconfig.io,25620,69,3,293.0,6.0,206.0,Javascript,NaoTipada,1.422330097087379,1014,115,743.3415277777777,9.0
ajaxorg/ace,https://github.com/ajaxorg/ace,25614,465,51,8420.0,117.0,2108.0,Javascript,NaoTipada,3.9943074003795065,16505,13417,692.973888888889,168.0
select2/select2,https://github.com/select2/select2,25594,505,0,2654.0,0.0,1491.0,Javascript,NaoTipada,1.780013413816231,2398,2168,0.0,0.0
GitbookIO/gitbook,https://github.com/GitbookIO/gitbook,25548,101,0,2379.0,0.0,386.0,Javascript,NaoTipada,6.16321243523316,8,13,0.0,0.0
Modernizr/Modernizr,https://github.com/Modernizr/Modernizr,25453,301,0,2613.0,0.0,1221.0,Javascript,NaoTipada,2.14004914004914,2136,885,0.0,0.0
jamiebuilds/the-super-tiny-compiler,https://github.com/jamiebuilds/the-super-tiny-compiler,25380,18,0,13.0,0.0,59.0,Javascript,NaoTipada,0.2203389830508474,48,9,0.0,0.0
qishibo/AnotherRedisDesktopManager,https://github.com/qishibo/AnotherRedisDesktopManager,25380,29,3,753.0,8.0,192.0,Javascript,NaoTipada,3.921875,1545,137,265.95930555555555,11.0
rstacruz/nprogress,https://github.com/rstacruz/nprogress,25258,32,0,209.0,0.0,95.0,Javascript,NaoTipada,2.2,148,54,0.0,0.0
immerjs/immer,https://github.com/immerjs/immer,25214,174,0,1369.0,75.0,440.0,Javascript,NaoTipada,3.1113636363636363,1646,151,67.12083333333334,75.0
remy/nodemon,https://github.com/remy/nodemon,25199,160,3,1288.0,60.0,509.0,Javascript,NaoTipada,2.530451866404716,638,423,222.9668055555556,63.0
lovell/sharp,https://github.com/lovell/sharp,25167,183,1,1844.0,199.0,372.0,Javascript,NaoTipada,4.956989247311828,3138,37,709.2336111111111,200.0
bvaughn/react-virtualized,https://github.com/bvaughn/react-virtualized,24911,200,22,1988.0,62.0,626.0,Javascript,NaoTipada,3.175718849840256,2449,171,168.9273611111111,84.0
nylas/nylas-mail,https://github.com/nylas/nylas-mail,24738,174,214,6116.0,434.0,255.0,Javascript,NaoTipada,23.9843137254902,4280,3658,754.7095833333333,648.0
fabricjs/fabric.js,https://github.com/fabricjs/fabric.js,24734,286,77,4686.0,658.0,2556.0,Javascript,NaoTipada,1.8333333333333333,7645,4427,543.9152777777778,735.0
tj/commander.js,https://github.com/tj/commander.js,24645,178,1,1201.0,44.0,902.0,Javascript,NaoTipada,1.3314855875831486,1713,65,3028.76875,45.0
DIYgod/RSSHub,https://github.com/DIYgod/RSSHub,24313,777,0,9106.0,0.0,7989.0,Javascript,NaoTipada,1.1398172487169858,701,23,0.0,0.0
swagger-api/swagger-ui,https://github.com/swagger-api/swagger-ui,23817,511,0,5601.0,529.0,3393.0,Javascript,NaoTipada,1.6507515473032714,5558,244,628.6629166666667,529.0
sampotts/plyr,https://github.com/sampotts/plyr,23632,180,20,2294.0,131.0,534.0,Javascript,NaoTipada,4.295880149812734,625,36,1243.09,151.0
hammerjs/hammer.js,https://github.com/hammerjs/hammer.js,23522,87,11,1199.0,11.0,250.0,Javascript,NaoTipada,4.796,695,192,3786.038611111111,22.0
feathericons/feather,https://github.com/feathericons/feather,23422,39,3,643.0,2.0,576.0,Javascript,NaoTipada,1.1163194444444444,79,6,5110.301944444444,5.0
quasarframework/quasar,https://github.com/quasarframework/quasar,23421,633,0,12958.0,0.0,4408.0,Javascript,NaoTipada,2.939655172413793,18256,820,0.0,0.0
rollup/rollup,https://github.com/rollup/rollup,23389,349,0,5254.0,0.0,1933.0,Javascript,NaoTipada,2.718054837040869,6942,1024,0.0,0.0
docsifyjs/docsify,https://github.com/docsifyjs/docsify,23379,174,25,1674.0,100.0,804.0,Javascript,NaoTipada,2.082089552238806,1425,202,251.17,125.0
michalsnik/aos,https://github.com/michalsnik/aos,23369,19,3,259.0,12.0,136.0,Javascript,NaoTipada,1.9044117647058825,256,154,962.6745833333332,15.0
vercel/pkg,https://github.com/vercel/pkg,23223,246,0,1135.0,18.0,282.0,Javascript,NaoTipada,4.024822695035461,2254,924,2213.439305555556,18.0
