nameWithOwner,url,stargazers,mentionableUsers,openIssues,commitsCount,medianBugFixTime,clossedIssues,pullrequestsCount
gorhill/uBlock,https://github.com/gorhill/uBlock,35610,104,0,10854.0,0.0,0.0,366.0
videojs/video.js,https://github.com/videojs/video.js,35511,436,79,3941.0,196.8898611111111,378.0,3001.0
quilljs/quill,https://github.com/quilljs/quill,35498,134,52,5368.0,254.01125,218.0,576.0
nolimits4web/swiper,https://github.com/nolimits4web/swiper,35052,264,0,3380.0,0.0,0.0,779.0
alvarotrigo/fullPage.js,https://github.com/alvarotrigo/fullPage.js,34533,141,24,2146.0,677.8351388888889,257.0,508.0
preactjs/preact,https://github.com/preactjs/preact,34353,305,13,5304.0,157.9151388888889,174.0,2115.0
photonstorm/phaser,https://github.com/photonstorm/phaser,34261,544,0,18802.0,0.0,0.0,2250.0
koajs/koa,https://github.com/koajs/koa,33965,233,10,1183.0,409.90472222222223,9.0,813.0
microsoft/monaco-editor,https://github.com/microsoft/monaco-editor,33953,281,94,3197.0,810.4215277777778,546.0,445.0
adobe/brackets,https://github.com/adobe/brackets,33451,590,0,17847.0,0.0,0.0,5606.0
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,33123,61,4,396.0,431.14,38.0,226.0
louislam/uptime-kuma,https://github.com/louislam/uptime-kuma,32901,320,73,4190.0,16.12472222222222,253.0,954.0
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,32788,181,0,769.0,0.0,0.0,320.0
gulpjs/gulp,https://github.com/gulpjs/gulp,32752,248,1,1198.0,1486.6679166666668,28.0,664.0
carbon-app/carbon,https://github.com/carbon-app/carbon,32482,175,14,1854.0,158.41,83.0,796.0
naptha/tesseract.js,https://github.com/naptha/tesseract.js,30319,67,0,707.0,4270.072777777777,1.0,179.0
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,29904,189,0,802.0,0.0,0.0,949.0
